gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	cluster	pct.diff
CD2	2.499251039192673e-91	-2.3472419017364907	0.008	0.132	3.165801291345359e-87	T cells	0	-0.124
CD3D	8.273977771338698e-140	-2.9760623671196322	0.009	0.19	1.0480647642954728e-135	T cells	0	-0.181
TRAC	4.091835885064329e-77	-2.0592652339035546	0.005	0.109	5.183128515610986e-73	T cells	0	-0.104
TRBC2	1.0158002052854138e-158	-2.9957001474558	0.014	0.219	1.2867141200350336e-154	T cells	0	-0.205
KLRD1	1.7788456762371805e-94	-2.5826339372103533	0.01	0.139	2.2532638180896367e-90	NK cells	0	-0.129
NKG7	9.779416002007528e-301	-4.240690499510336	0.048	0.399	1.2387586249742935e-296	NK cells	0	-0.35100000000000003
KLRC1	3.3866229371232902e-22	-1.0954598928441361	0.003	0.035	4.289835274454072e-18	NK cells	0	-0.032
FCGR3A	3.215996128030178e-87	-2.3192830459340588	0.054	0.2	4.073702295375827e-83	NK cells	0	-0.14600000000000002
CD14	0	2.957545766625948	0.533	0.016	0	monocytes	0	0.517
FCN1	0	2.763133202683706	0.809	0.103	0	monocytes	0	0.7060000000000001
VCAN	0	4.464099394731038	0.923	0.045	0	monocytes	0	0.878
CD1C	0.2166153435434566	-0.1016813587712338	0.018	0.014	1	Dendritic cells	0	0.003999999999999998
CD1E	0.8163706402239421	-0.0027516114158131245	0.002	0.001	1	Dendritic cells	0	0.001
FCER1A	5.6654891985628986e-8	-0.3301870350444656	0.002	0.014	7.176475167819624e-4	Dendritic cells	0	-0.012
MS4A1	3.2310702068283597e-76	-3.042721928022275	0.008	0.114	4.092796630989483e-72	B cells	0	-0.10600000000000001
CD79A	3.64987152376585e-38	-1.2693321243713416	0.002	0.055	4.623292259154202e-34	B cells	0	-0.053
CD79B	4.426779416621139e-27	-1.1228468533708873	0.009	0.054	5.607401487033997e-23	B cells	0	-0.045
IGHD	1.3396200539782947e-13	-0.670775627831709	0.001	0.018	1.696896722374306e-9	B cells	0	-0.016999999999999998
HLA-DRA	0	1.012231547256234	0.814	0.259	0	B cells	0	0.5549999999999999
JCHAIN	1.2040150234279009e-21	-2.0570888500709272	0.005	0.038	1.525125830176122e-17	Plasma cells	0	-0.033
MZB1	3.5377356465075564e-24	-1.1812870154068933	0.002	0.035	4.481249743431122e-20	Plasma cells	0	-0.033
IGHG1	3.652525564605475e-6	-1.7402004778631357	0.003	0.013	0.04626654132685755	Plasma cells	0	-0.009999999999999998
CD2	1.5135261735127473e-7	-0.460377632148278	0.047	0.091	0.001917183603988597	T cells	1	-0.044
CD3D	1.3466534166815718e-17	-0.9650163316779357	0.051	0.134	1.705805882910547e-13	T cells	1	-0.08300000000000002
TRAC	4.937080686986151e-17	-1.153873654203432	0.017	0.079	6.253800106205358e-13	T cells	1	-0.062
TRBC2	1.0650288207309241e-4	0.31252601380571	0.17	0.134	1	T cells	1	0.036000000000000004
KLRD1	0	3.172879871358319	0.386	0.032	0	NK cells	1	0.354
NKG7	0	3.1144460381557906	0.866	0.148	0	NK cells	1	0.718
KLRC1	7.766399816789275e-33	1.2850411117362568	0.066	0.014	9.837698647926974e-29	NK cells	1	0.052000000000000005
FCGR3A	1.0614462213438148e-44	1.3260132289806679	0.255	0.123	1.3445339285762101e-40	NK cells	1	0.132
CD14	6.493365368234769e-95	-2.136873778222529	0.004	0.255	8.225145911942981e-91	monocytes	1	-0.251
