cluster	cell_type	avg_pct.diff	avg_logfc	pct_rank	logfc_rank	total_rank
0	monocytes	0.7003333333333334	3.3949261213468973	6	6	12
1	NK cells	0.314	2.2245950625577584	6	6	12
2	T cells	0.274	1.922718493578468	6	6	12
3	T cells	0.21825	1.8999357949003022	6	6	12
4	B cells	0.0788	-0.5175205977447446	5	5	10
5	B cells	0.35259999999999997	3.13682700226259	6	6	12
6	Plasma cells	0.495	5.412509610509312	6	6	12
7	Dendritic cells	0.3373333333333333	2.3013229902073316	6	6	12
8	Dendritic cells	-0.008666666666666666	-0.1850683911387111	6	6	12
9	T cells	0.07749999999999999	0.47920989183578333	6	6	12
